,0
543,1317588
544,1511826
545,314965
546,894205
547,811454
548,1466715
549,1540826
550,1486180
551,351173
552,1470261
553,1664017
554,1275880
555,936939
556,1547494
557,1123803
558,1014736
559,1067324
560,1012091
561,1104366
562,1488207
563,1569639
564,1310051
565,1086416
566,1429895
567,1635523
568,1541666
569,1389544
570,1278387
571,1418427
572,1554913
573,1555433
574,1512370
575,1503269
576,1408700
577,1466153
578,1476417
579,1426665
580,1535249
581,1513211
582,1588959
583,314986
584,1601348
585,1295044
586,1511847
587,1441646
588,1501577
589,1483060
590,1559789
591,1494179
592,1526201
593,1279926
594,1534469
595,1455253
596,1568235
597,1325447
598,1314588
599,1482688
600,1434981
601,902219
602,1218254
603,1389082
604,932859
605,1068840
606,1472850
607,1364412
608,1564702
609,1374588
610,740272
611,861177
612,1535578
613,1325256
614,1598806
615,1218710
616,65957
617,1549275
618,1350585
619,1555170
620,1017645
621,1388443
622,1577920
623,1579853
624,1568289
625,1615135
626,1564579
627,1535472
628,1351407
629,1589282
630,1367787
631,1599886
632,1326918
633,1583000
634,1317583
635,1381859
636,1528147
637,773411
638,909151
639,1318055
640,1591442
641,1592613
642,1479465
643,1362033
644,1399348
645,1300311
646,1544744
647,1541625
648,1569452
649,1628110
650,1606810
651,1548577
652,315189
653,84616
654,1326533
655,1279030
656,1504304
657,1536262
658,1080114
659,1458425
660,1603464
661,1409888
662,1535660
663,922127
664,1350312
665,1531741
666,1634553
667,1019231
668,1009198
669,869878
670,1665302
671,1546283
672,1166340
673,1455838
674,1576953
675,1511901
676,1419186
677,1316580
678,1059543
679,924181
680,1140753
681,1055963
682,1654913
683,1519319
684,1569173
685,1633901
686,1080201
687,1422023
688,1211028
689,1557543
690,924166
691,1512566
692,70858
693,1555909
694,1641643
695,1531879
696,1525212
697,943442
698,1014315
699,1384042
700,1664772
701,1663138
702,1455969
703,1428569
704,1591377
705,1506294
706,1279708
707,1568717
708,1300336
709,1657660
710,1541349
711,1053136
712,1632118
713,1330325
714,1314150
715,1279885
716,1509550
717,1050463
718,1496201
719,1015308
720,1427748
721,825161
722,1121779
723,1423080
724,1423065
725,1102578
726,1314404
727,1352107
728,1274981
729,754811
730,1120926
731,1631052
732,1104186
733,1600175
734,1570296
735,1652253
736,1167376
737,1644187
738,1482935
739,1384943
740,1145020
741,1484150
742,1599762
743,1165501
744,1399518
745,1091561
746,1349352
747,1575677
748,1534259
749,911088
